,NO_1_NO_3,NO_3_NO_1,NO_5_NO_3,NO_3_NO_5,NO_4_NO_3,NO_3_NO_4,SE_2_NO_3,NO_3_SE_2,NO_3_NO_1_net_export,NO_3_NO_4_net_export,NO_3_NO_5_net_export,NO_3_SE_2_net_export,Net Export
2026-01-02 05:00:00+00:00,0.0,251.7153675,0.0,294.86628475,488.81241024999997,0.0,725.99898075,0.0,251.7153675,-488.81241024999997,294.86628475,-725.99898075,-668.22973875
2026-01-02 06:00:00+00:00,0.0,228.088682,0.0,237.67535825000002,430.236953,0.0,655.86442175,0.0,228.088682,-430.236953,237.67535825000002,-655.86442175,-620.3373345
2026-01-02 07:00:00+00:00,0.0,235.68991075000002,0.0,254.87061525000001,548.2123427500001,0.0,562.34647425,0.0,235.68991075000002,-548.2123427500001,254.87061525000001,-562.34647425,-619.9982910000001
2026-01-02 08:00:00+00:00,0.0,246.95055225,0.0,190.0778875,685.890724,0.0,523.95456575,0.0,246.95055225,-685.890724,190.0778875,-523.95456575,-772.81685
2026-01-02 09:00:00+00:00,0.0,269.52424874999997,0.0,206.54658225,777.92636875,0.0,500.41559725,0.0,269.52424874999997,-777.92636875,206.54658225,-500.41559725,-802.2711350000001
2026-01-02 10:00:00+00:00,0.0,293.3995655,0.0,250.6282995,816.8894789999999,0.0,598.31060375,0.0,293.3995655,-816.8894789999999,250.6282995,-598.31060375,-871.17221775
2026-01-02 11:00:00+00:00,0.0,299.4903885,0.0,204.07191949999998,710.479978,0.0,571.75205225,0.0,299.4903885,-710.479978,204.07191949999998,-571.75205225,-778.66972225
2026-01-02 12:00:00+00:00,0.0,322.64347075,0.0,113.579128,732.5832977499999,0.0,618.2899775000001,0.0,322.64347075,-732.5832977499999,113.579128,-618.2899775000001,-914.6506765
2026-01-02 13:00:00+00:00,0.0,288.0044705,0.0,54.29390425,674.8406355,0.0,587.63181775,0.0,288.0044705,-674.8406355,54.29390425,-587.63181775,-920.1740785
2026-01-02 14:00:00+00:00,0.0,313.24282,0.0,145.49816775,739.5446125,0.0,524.4081337499999,0.0,313.24282,-739.5446125,145.49816775,-524.4081337499999,-805.2117584999999
2026-01-02 15:00:00+00:00,0.0,317.84117775,0.0,124.85835325,790.74139825,0.0,580.542725,0.0,317.84117775,-790.74139825,124.85835325,-580.542725,-928.58459225
2026-01-02 16:00:00+00:00,0.0,314.942053,0.0,98.10978025,803.858517,0.0,573.32798975,0.0,314.942053,-803.858517,98.10978025,-573.32798975,-964.1346735000001
2026-01-02 17:00:00+00:00,0.0,330.80181,0.0,135.40440825,779.9856097500001,0.0,568.27559375,0.0,330.80181,-779.9856097500001,135.40440825,-568.27559375,-882.0549852500001
2026-01-02 18:00:00+00:00,0.0,327.46288725,0.0,148.7872505,777.57696725,0.0,630.6708425,0.0,327.46288725,-777.57696725,148.7872505,-630.6708425,-931.9976720000001
