,FR_ES,ES_FR,ES_PT,PT_ES,ES_FR_net_export,ES_PT_net_export,Net Export
2026-01-08 09:00:00+00:00,0.0,2128.07,2525.35,0.0,2128.07,2525.35,4653.42
2026-01-08 10:00:00+00:00,0.0,1552.4,3304.16,0.0,1552.4,3304.16,4856.5599999999995
2026-01-08 11:00:00+00:00,0.0,1685.87,3038.75,0.0,1685.87,3038.75,4724.62
2026-01-08 12:00:00+00:00,0.0,1815.83,2559.28,0.0,1815.83,2559.28,4375.110000000001
2026-01-08 13:00:00+00:00,0.0,1816.06,2435.81,0.0,1816.06,2435.81,4251.87
2026-01-08 14:00:00+00:00,0.0,2238.69,2393.6800000000003,0.0,2238.69,2393.6800000000003,4632.370000000001
2026-01-08 15:00:00+00:00,0.0,2299.67,2180.41,0.0,2299.67,2180.41,4480.08
2026-01-08 16:00:00+00:00,0.0,2400.92,1583.6100000000001,0.0,2400.92,1583.6100000000001,3984.53
2026-01-08 17:00:00+00:00,0.0,1792.7800000000002,0.0,217.5,1792.7800000000002,-217.5,1575.2800000000002
2026-01-08 18:00:00+00:00,0.0,1834.25,6.02,127.66999999999999,1834.25,-121.64999999999999,1712.6
2026-01-08 19:00:00+00:00,0.0,1425.1399999999999,5.45,21.419999999999998,1425.1399999999999,-15.969999999999999,1409.1699999999998
2026-01-08 20:00:00+00:00,0.0,859.36,173.47,0.0,859.36,173.47,1032.83
2026-01-08 21:00:00+00:00,0.0,1425.71,571.4200000000001,0.0,1425.71,571.4200000000001,1997.13
2026-01-08 22:00:00+00:00,0.0,1978.8400000000001,1171.31,0.0,1978.8400000000001,1171.31,3150.15
2026-01-08 23:00:00+00:00,0.0,2751.93,1448.58,0.0,2751.93,1448.58,4200.51
2026-01-09 00:00:00+00:00,0.0,2967.56,1626.25,0.0,2967.56,1626.25,4593.8099999999995
2026-01-09 01:00:00+00:00,0.0,3056.34,1519.22,0.0,3056.34,1519.22,4575.56
2026-01-09 02:00:00+00:00,0.0,2991.32,1958.89,0.0,2991.32,1958.89,4950.21
2026-01-09 03:00:00+00:00,0.0,2638.2200000000003,2094.9700000000003,0.0,2638.2200000000003,2094.9700000000003,4733.1900000000005
2026-01-09 04:00:00+00:00,0.0,2852.77,1864.75,0.0,2852.77,1864.75,4717.52
2026-01-09 05:00:00+00:00,0.0,2608.7599999999998,961.08,0.0,2608.7599999999998,961.08,3569.8399999999997
2026-01-09 06:00:00+00:00,0.0,2440.4700000000003,128.26,92.53999999999999,2440.4700000000003,35.72,2476.19
2026-01-09 07:00:00+00:00,0.0,2013.49,0.0,642.05,2013.49,-642.05,1371.44
2026-01-09 08:00:00+00:00,0.0,2028.1799999999998,533.38,125.79,2028.1799999999998,407.59,2435.77
2026-01-09 09:00:00+00:00,0.0,2133.4,2064.65,0.0,2133.4,2064.65,4198.05
2026-01-09 10:00:00+00:00,0.0,2653.76,2867.21,0.0,2653.76,2867.21,5520.97
2026-01-09 11:00:00+00:00,0.0,2841.8,3215.71,0.0,2841.8,3215.71,6057.51
2026-01-09 12:00:00+00:00,0.0,2835.13,3128.02,0.0,2835.13,3128.02,5963.15
2026-01-09 13:00:00+00:00,0.0,2751.11,3148.31,0.0,2751.11,3148.31,5899.42
2026-01-09 14:00:00+00:00,0.0,2852.41,3193.26,0.0,2852.41,3193.26,6045.67
2026-01-09 15:00:00+00:00,0.0,2850.08,2896.62,0.0,2850.08,2896.62,5746.7
2026-01-09 16:00:00+00:00,0.0,2979.88,1775.16,0.0,2979.88,1775.16,4755.04
2026-01-09 17:00:00+00:00,0.0,2956.95,63.28,122.19,2956.95,-58.91,2898.04
2026-01-09 18:00:00+00:00,0.0,2826.63,0.0,201.71,2826.63,-201.71,2624.92
2026-01-09 19:00:00+00:00,503.93999999999994,563.1700000000001,312.28999999999996,8.73,59.23000000000013,303.55999999999995,362.7900000000001
2026-01-09 20:00:00+00:00,1571.6100000000001,0.0,947.02,0.0,-1571.6100000000001,947.02,-624.5900000000001
2026-01-09 21:00:00+00:00,494.95000000000005,58.42,1308.16,0.0,-436.53000000000003,1308.16,871.6300000000001
