,NO_2_NO_1,NO_1_NO_2,SE_3_NO_1,NO_1_SE_3,NO_1_NO_3,NO_3_NO_1,NO_1_NO_5,NO_5_NO_1,NO_1_NO_2_net_export,NO_1_NO_3_net_export,NO_1_NO_5_net_export,NO_1_SE_3_net_export,Net Export
2026-01-15 15:00:00+00:00,1374.9910595000001,0.0,0.0,802.70420825,0.0,274.995319,0.0,3036.8553715,-1374.9910595000001,-274.995319,-3036.8553715,802.70420825,-3884.1375417499994
2026-01-15 16:00:00+00:00,1132.59335975,0.0,0.0,586.2625275,0.0,295.70734725,0.0,3034.93835925,-1132.59335975,-295.70734725,-3034.93835925,586.2625275,-3876.97653875
2026-01-15 17:00:00+00:00,1273.0976835000001,0.0,0.0,563.20664225,0.0,285.96718575,0.0,2811.235902,-1273.0976835000001,-285.96718575,-2811.235902,563.20664225,-3807.094129
2026-01-15 18:00:00+00:00,884.36562075,0.0,0.0,369.378937,0.0,341.01491999999996,0.0,3039.985605,-884.36562075,-341.01491999999996,-3039.985605,369.378937,-3895.9872087500003
2026-01-15 19:00:00+00:00,659.3001905,0.0,0.0,203.35381325,0.0,361.69435075,0.0,2991.1074155,-659.3001905,-361.69435075,-2991.1074155,203.35381325,-3808.7481435000004
2026-01-15 20:00:00+00:00,914.6839905,0.0,34.81895625,234.185051,0.0,322.58077825,0.0,2657.8676495,-914.6839905,-322.58077825,-2657.8676495,199.36609475,-3695.7663235
2026-01-15 21:00:00+00:00,262.129264,0.0,367.01327649999996,0.0,0.0,356.88763175,0.0,2454.268141,-262.129264,-356.88763175,-2454.268141,-367.01327649999996,-3440.29831325
2026-01-15 22:00:00+00:00,168.72147825000002,0.0,576.21818675,0.0,0.0,367.4667025,0.0,2117.56326175,-168.72147825000002,-367.4667025,-2117.56326175,-576.21818675,-3229.96962925
2026-01-15 23:00:00+00:00,240.57342025,0.0,626.146987,0.0,0.0,349.5013435,0.0,1730.09474625,-240.57342025,-349.5013435,-1730.09474625,-626.146987,-2946.3164970000003
2026-01-16 00:00:00+00:00,231.72447275000002,0.0,818.3785735,0.0,0.0,373.97755775,0.0,1450.1182187499999,-231.72447275000002,-373.97755775,-1450.1182187499999,-818.3785735,-2874.19882275
2026-01-16 01:00:00+00:00,248.89658925,0.0,923.9908345,0.0,0.0,355.48751025,0.0,1223.57998925,-248.89658925,-355.48751025,-1223.57998925,-923.9908345,-2751.95492325
2026-01-16 02:00:00+00:00,101.132168,16.31117575,1079.96213825,0.0,0.0,334.56060625,0.0,1147.67085225,-84.82099224999999,-334.56060625,-1147.67085225,-1079.96213825,-2647.014589
2026-01-16 03:00:00+00:00,0.0,351.13122325,1504.5002455,0.0,0.0,363.7486425,0.0,1160.55652125,351.13122325,-363.7486425,-1160.55652125,-1504.5002455,-2677.674186
2026-01-16 04:00:00+00:00,0.0,661.442117,1422.64927375,0.0,0.0,348.56537025,0.0,1669.1162342500002,661.442117,-348.56537025,-1669.1162342500002,-1422.64927375,-2778.8887612500002
2026-01-16 05:00:00+00:00,34.45187575,167.63877925,920.891067,0.0,0.0,328.641729,0.0,1951.45064175,133.1869035,-328.641729,-1951.45064175,-920.891067,-3067.79653425
2026-01-16 06:00:00+00:00,166.20653149999998,0.0,734.09156725,0.0,0.0,330.03805875,0.0,2261.25753175,-166.20653149999998,-330.03805875,-2261.25753175,-734.09156725,-3491.59368925
2026-01-16 07:00:00+00:00,282.630408,0.0,816.21161225,0.0,0.0,301.7984995,0.0,2139.5185105,-282.630408,-301.7984995,-2139.5185105,-816.21161225,-3540.15903025
2026-01-16 08:00:00+00:00,493.888514,0.0,577.51961925,0.0,0.0,280.14861325,0.0,2173.9455365000003,-493.888514,-280.14861325,-2173.9455365000003,-577.51961925,-3525.502283
2026-01-16 09:00:00+00:00,268.21793375,0.0,924.58943,0.0,0.0,288.70761675,0.0,2072.97711,-268.21793375,-288.70761675,-2072.97711,-924.58943,-3554.4920905
2026-01-16 10:00:00+00:00,381.433191,0.0,732.71142875,0.0,0.0,289.267941,0.0,2120.3755725,-381.433191,-289.267941,-2120.3755725,-732.71142875,-3523.78813325
2026-01-16 11:00:00+00:00,0.6422885,263.356739,1262.457411,0.0,0.0,377.9507835,0.0,2227.5595405,262.7144505,-377.9507835,-2227.5595405,-1262.457411,-3605.2532844999996
2026-01-16 12:00:00+00:00,0.0,711.22678075,1540.38798625,0.0,0.0,388.949978,0.0,2299.225877,711.22678075,-388.949978,-2299.225877,-1540.38798625,-3517.3370605
2026-01-16 13:00:00+00:00,0.0,917.0501487500001,1580.23175375,0.0,0.0,347.72790349999997,0.0,2317.10732225,917.0501487500001,-347.72790349999997,-2317.10732225,-1580.23175375,-3328.01683075
2026-01-16 14:00:00+00:00,0.0,706.25287625,1267.911026,0.0,0.0,296.65020649999997,0.0,2347.8709555,706.25287625,-296.65020649999997,-2347.8709555,-1267.911026,-3206.17931175
2026-01-16 15:00:00+00:00,0.0,157.16809,771.0766080000001,0.0,0.0,289.455851,0.0,2332.7729995,157.16809,-289.455851,-2332.7729995,-771.0766080000001,-3236.1373685
2026-01-16 16:00:00+00:00,0.0,86.99121175,594.7822094999999,0.0,0.0,283.05064075,0.0,2418.3492205,86.99121175,-283.05064075,-2418.3492205,-594.7822094999999,-3209.1908589999994
