,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Other,Solar,Waste,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-02-06 02:00:00+00:00,16.84,508.61872725,38.881859,70.80829824999999,0.0,104.1643395,487.13735475,1226.45057875,0.0,184.099742,1564.2663324999999,1226.45057875,1748.3660744999997,-521.9154957499998
2026-02-06 03:00:00+00:00,16.84,507.7667,48.6810195,70.353725,0.0,103.44839999999999,432.975294,1180.0651385,0.0,222.4461785,1652.02185,1180.0651385,1874.4680285000002,-694.4028900000001
2026-02-06 04:00:00+00:00,16.84,509.45668324999997,40.60519625,94.0284785,0.0,103.717108,356.66288675,1121.3103527499998,25.1729675,0.0,1879.815175,1146.4833202499997,1879.815175,-733.3318547500003
2026-02-06 05:00:00+00:00,16.84,509.2907325,36.842953,100.7594445,0.020593,104.1490465,319.26274525,1087.16551475,105.10817225,0.0,2082.6426199999996,1192.273687,2082.6426199999996,-890.3689329999995
2026-02-06 06:00:00+00:00,16.84,508.44373925,43.05734725,100.81686225,7.477957249999999,104.07621775,310.2940215,1091.00614525,305.5168455,0.0,2231.1885325000003,1396.52299075,2231.1885325000003,-834.6655417500003
2026-02-06 07:00:00+00:00,16.84,509.25917125,30.58392525,123.9042925,34.489213,103.988389,283.84644149999997,1102.9114325,295.96509025,0.0,2309.2693825,1398.87652275,2309.2693825,-910.3928597500001
2026-02-06 08:00:00+00:00,16.84,509.21974725,24.27588625,87.4518505,62.476792249999995,103.63243875,240.5476615,1044.4443765,217.028525,0.0,2326.6489025,1261.4729015,2326.6489025,-1065.176001
2026-02-06 09:00:00+00:00,16.84,504.98679475,24.36593125,74.5719725,77.15884475,104.4693995,206.96923900000002,1009.36218175,204.48242725,0.0,2315.624835,1213.844609,2315.624835,-1101.780226
2026-02-06 10:00:00+00:00,16.84,509.58875475,24.38469325,86.698849,82.63847475,104.36040150000001,215.59956175,1040.110735,6.182312,0.0,2279.86478,1046.293047,2279.86478,-1233.571733
2026-02-06 11:00:00+00:00,16.84,497.99536375,42.59387625,100.32554275,73.97865725,104.82027125,252.73438875,1089.2881,23.01472975,0.0,2262.5725775,1112.30282975,2262.5725775,-1150.26974775
2026-02-06 12:00:00+00:00,16.84,504.260187,51.16506225,69.56455525,54.199643,105.13505175,281.74611675,1082.9106160000001,0.0,0.0,2210.5648,1082.9106160000001,2210.5648,-1127.654184
2026-02-06 13:00:00+00:00,16.84,502.811706,51.3468365,76.08040625,25.2865125,104.87056,293.535391,1070.77141225,0.0,0.0,2153.83648,1070.77141225,2153.83648,-1083.06506775
2026-02-06 14:00:00+00:00,16.84,510.63619575,56.48835875,77.39749725,5.144018,104.1704965,284.90867025,1055.5852365,5.18936975,0.0,2127.4427775,1060.77460625,2127.4427775,-1066.66817125
2026-02-06 15:00:00+00:00,18.146517,502.834208,51.536353250000005,78.7200345,0.16635450000000002,103.75179675,261.118274,1016.2735380000001,10.3697215,0.0,2165.9165125,1026.6432595,2165.9165125,-1139.2732529999998
