,Fossil Gas,Hydro Run-of-river and poundage,Wind Onshore,Hydro Water Reservoir,Other renewable,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-02-22 12:00:00+00:00,141.399177,200.71039925,95.33241975,2780.25069875,26.66381675,3244.3565115,0.0,0.0,2629.94,3244.3565115,2629.94,614.4165115000001
2026-02-22 13:00:00+00:00,141.64240375,204.68101475,111.564449,3033.75387325,25.08944425,3516.731185,0.0,0.0,2639.5474999999997,3516.731185,2639.5474999999997,877.1836850000004
2026-02-22 14:00:00+00:00,141.73991475,203.94006725,159.118393,3104.61836675,26.658667,3636.07540875,0.0,0.0,2692.5575,3636.07540875,2692.5575,943.5179087500001
2026-02-22 15:00:00+00:00,142.1594025,202.45650925,203.01104625,3062.574904,24.46853375,3634.67039575,0.0,0.0,2723.0575,3634.67039575,2723.0575,911.61289575
2026-02-22 16:00:00+00:00,142.1687,202.985204,276.285046,3000.0432235,25.5948655,3647.077039,0.0,0.0,2779.16,3647.077039,2779.16,867.9170389999999
2026-02-22 17:00:00+00:00,142.410006,202.43881275,308.03721874999997,3136.8924085,24.81778825,3814.5962342499997,0.0,0.0,2813.025,3814.5962342499997,2813.025,1001.5712342499996
2026-02-22 18:00:00+00:00,142.56852075,205.05884375,313.7961845,3001.38567625,25.197841,3688.00706625,0.0,0.0,2815.2475,3688.00706625,2815.2475,872.7595662500003
2026-02-22 19:00:00+00:00,142.7762885,208.55262125000002,377.66607975,2835.4027484999997,25.440013,3589.8377509999996,0.0,0.0,2813.0375,3589.8377509999996,2813.0375,776.8002509999997
2026-02-22 20:00:00+00:00,142.4660245,208.19045699999998,402.4229175,3052.967888,25.2993265,3831.3466135000003,0.0,0.0,2821.3925,3831.3466135000003,2821.3925,1009.9541135000004
2026-02-22 21:00:00+00:00,139.74552825,213.43901175,401.567598,2972.07554575,25.7905875,3752.61827125,0.0,0.0,2813.5099999999998,3752.61827125,2813.5099999999998,939.1082712500001
2026-02-22 22:00:00+00:00,140.63633325,216.917239,385.4484455,2836.388275,23.081750749999998,3602.4720435,0.0,0.0,2785.3125,3602.4720435,2785.3125,817.1595434999999
2026-02-22 23:00:00+00:00,142.8865265,196.9863115,358.319811,2722.30776875,24.65411325,3445.154531,0.0,0.0,2717.58,3445.154531,2717.58,727.5745310000002
2026-02-23 00:00:00+00:00,143.38598075,190.5269,395.955085,2684.07130675,24.3655745,3438.304847,0.0,0.0,2692.4125,3438.304847,2692.4125,745.892347
2026-02-23 01:00:00+00:00,143.25146775,184.904567,407.81105625,2677.4341317500002,23.62550075,3437.0267235,0.0,0.0,2667.685,3437.0267235,2667.685,769.3417235000002
2026-02-23 02:00:00+00:00,143.12701075,180.6487095,440.37213775,2614.4009917500002,25.692645,3404.24149475,0.0,0.0,2656.2425,3404.24149475,2656.2425,747.9989947500003
2026-02-23 03:00:00+00:00,143.03211625,178.51314675,422.64400775,2655.579162,27.3995945,3427.1680272500003,0.0,0.0,2676.8225,3427.1680272500003,2676.8225,750.34552725
2026-02-23 04:00:00+00:00,143.23057925,182.07846075,441.03472225,2694.65622625,24.711866999999998,3485.7118555,0.0,0.0,2697.8825,3485.7118555,2697.8825,787.8293555
2026-02-23 05:00:00+00:00,142.67901275,188.3320415,408.784319,3041.55373375,25.23863425,3806.58774125,0.0,0.0,2797.4275,3806.58774125,2797.4275,1009.1602412500001
2026-02-23 06:00:00+00:00,138.981098,196.055163,402.0021105,3205.3897965,23.2116035,3965.6397715000003,0.0,0.0,2944.71,3965.6397715000003,2944.71,1020.9297715000002
2026-02-23 07:00:00+00:00,138.5541625,201.86339750000002,430.8839685,3131.2610255,22.164634749999998,3924.72718875,0.0,0.0,3005.6225,3924.72718875,3005.6225,919.1046887500002
2026-02-23 08:00:00+00:00,138.35967025,199.118978,476.45723275,3135.99070875,24.5604245,3974.48701425,0.0,0.0,2985.72,3974.48701425,2985.72,988.7670142500001
