,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Other renewable,Storage,Nuclear,Fossil Gas,Waste,Fossil Coal-derived gas,Fossil Oil shale,Fossil Peat,Other
2026-02-08 15:00:00+00:00,0.45373368809114056,247.74063757089735,0.0,1946.4237055884475,0.0,0.0,0.0,812.2962166182176,0.1382631858073562,0.0,0.0,0.0,0.0,136.9724433485389
2026-02-08 16:00:00+00:00,0.04637525113459812,186.5524849361763,0.0,1898.741788634648,0.0,0.0,0.0,461.2987943547326,0.11123517026993551,0.0,0.0,0.0,0.0,85.52432165303854
2026-02-08 17:00:00+00:00,0.014475933925559804,131.98969143137376,0.0,1836.6008335062518,0.0,0.0,0.0,101.34591278569673,0.021562960167169517,0.0,0.0,0.0,0.0,32.3275233825851
2026-02-08 18:00:00+00:00,0.020582985417335418,133.3069346487022,0.0,1852.578624924284,0.0,0.0,0.0,156.8534748181593,0.044503752253698195,0.0,0.0,0.0,0.0,40.67087887118351
2026-02-08 19:00:00+00:00,0.06994575764536708,177.12759379003768,0.0,1959.1559428607493,0.0,0.0,0.0,587.3110728316766,0.07498651802362165,0.0,0.0,0.0,0.0,103.73545824186733
2026-02-08 20:00:00+00:00,0.015382057320687861,199.12337413510153,0.0,2005.0712014389487,0.0,0.0,0.0,787.2486686813024,0.14516642117527565,0.0,0.0,0.0,0.0,133.2462072661512
2026-02-08 21:00:00+00:00,0.015099299619371056,215.3611372967332,0.0,1984.1898241937,0.0,0.0,0.0,804.8012326423182,0.1027551580902378,0.0,0.0,0.0,0.0,134.3799514095388
2026-02-08 22:00:00+00:00,0.012752639685565018,214.06299172414242,0.0,1931.4422408048806,0.0,0.0,0.0,643.2440582722561,0.1095038828098606,0.0,0.0,0.0,0.0,110.37845267622565
2026-02-08 23:00:00+00:00,0.016778791931684828,217.6460427825229,0.0,1852.4117648757626,0.0,0.0,0.0,743.8597756380275,0.07386889529672566,0.0,0.0,0.0,0.0,123.94176901645864
2026-02-09 00:00:00+00:00,0.0173172786587688,238.60185795320305,0.0,1774.603218150671,0.0,0.0,0.0,713.9579797913452,0.09114357188825684,0.0,0.0,0.0,0.0,121.32848325423389
2026-02-09 01:00:00+00:00,0.016453704312953364,242.36924764210733,0.0,1732.8890560912494,0.0,0.0,0.0,704.0887126332092,0.09987073938059705,0.0,0.0,0.0,0.0,119.71165918974057
2026-02-09 02:00:00+00:00,0.015118380823786793,260.62146053566244,0.0,1628.9536369775724,0.0,0.0,0.0,646.8556384028716,0.06423591245311534,0.0,0.0,0.0,0.0,111.76490979061634
2026-02-09 03:00:00+00:00,0.0766152234431876,258.96668792356047,0.0,1616.7999275772383,0.0,0.0,0.0,621.4713149242631,0.0881394575130142,0.0,0.0,0.0,0.0,109.44731489398163
2026-02-09 04:00:00+00:00,0.08659267315135456,260.1845805388442,0.0,1745.2260710729138,0.0,0.0,0.0,663.6575417284794,0.11294696498002768,0.0,0.0,0.0,0.0,117.70726702163141
2026-02-09 05:00:00+00:00,0.09816194506703114,241.37937295445755,0.0,1813.9192843005308,0.0,0.0,0.0,725.70366937629,0.13379871935742121,0.0,0.0,0.0,0.0,129.06571270429745
2026-02-09 06:00:00+00:00,0.15171850348089114,207.56398455828236,0.0,1652.2216173828322,0.0,0.0,0.0,727.8977240338959,0.13424131667528227,0.0,0.0,0.0,0.0,134.50571420483337
2026-02-09 07:00:00+00:00,0.8777563002838659,207.67233501374784,0.0,1745.3233318237317,0.0,0.0,0.0,663.677552803382,0.14120798995816639,0.0,0.0,0.0,0.0,125.30781606889622
2026-02-09 08:00:00+00:00,4.649031782496927,195.36683246100662,0.0,1715.0242056137763,0.0,0.0,0.0,747.0083845469303,0.21188721728745719,0.0,0.0,0.0,0.0,140.4896583785025
2026-02-09 09:00:00+00:00,9.594255172058032,170.3174510723606,0.0,1745.5722472717082,0.0,0.0,0.0,782.4472422471647,0.14426058926695706,0.0,0.0,0.0,0.0,150.4995436474416
2026-02-09 10:00:00+00:00,14.199103945978292,175.42110183065785,0.0,1805.7729062235474,0.0,0.0,0.0,795.9602583845865,0.16937727160971483,0.0,0.0,0.0,0.0,156.42725234362058
2026-02-09 11:00:00+00:00,14.91591204993269,155.98627103521605,0.0,1814.1842588063448,0.0,0.0,0.0,807.941530436559,0.2521235981504156,0.0,0.0,0.0,0.0,162.34490407379732
2026-02-09 12:00:00+00:00,12.264845694986162,146.8531448842666,0.0,1839.1761486663886,0.0,0.0,0.0,812.2425413518972,0.1958321259818785,0.0,0.0,0.0,0.0,165.66748727647956
2026-02-09 13:00:00+00:00,7.287926501317397,131.4030601000787,0.0,1821.4693193014673,0.0,0.0,0.0,816.1661906975315,0.13890220235952883,0.0,0.0,0.0,0.0,166.78460119724554
2026-02-09 14:00:00+00:00,3.183354286077051,122.16866922844042,0.0,1756.09333983952,0.0,0.0,0.0,820.1641026118231,0.15121448495183237,0.0,0.0,0.0,0.0,163.73931954918785
2026-02-09 15:00:00+00:00,0.48163875444361814,137.4401787102736,0.0,1892.3675188613468,0.0,0.0,0.0,814.2015961596622,0.1385678507150184,0.0,0.0,0.0,0.0,164.14549966355813
2026-02-09 16:00:00+00:00,0.06914152118174162,140.22397428377081,0.0,1867.380319062127,0.0,0.0,0.0,784.4197358848917,0.17799908912435497,0.0,0.0,0.0,0.0,154.87883015890415
2026-02-09 17:00:00+00:00,0.1082500501174017,150.57760934857134,0.0,1900.3726609358107,0.0,0.0,0.0,780.7292617162987,0.1771867828008621,0.0,0.0,0.0,0.0,151.78503116640064
2026-02-09 18:00:00+00:00,0.10568929494400862,153.13289024602244,0.0,1925.649057822451,0.0,0.0,0.0,800.2311072753877,0.2269837206851192,0.0,0.0,0.0,0.0,155.10427164050975
2026-02-09 19:00:00+00:00,0.09816000169926498,134.21685222164007,0.0,1840.9262173760007,0.0,0.0,0.0,816.9090256494745,0.10427146831435644,0.0,0.0,0.0,0.0,157.57047328287098
2026-02-09 20:00:00+00:00,0.017708669408438234,128.0744771031233,0.0,1828.8769142414708,0.0,0.0,0.0,831.0404525717004,0.15321976859214445,0.0,0.0,0.0,0.0,153.26222764570522
2026-02-09 21:00:00+00:00,0.01762357765785436,98.24454826662088,0.0,1890.010660107879,0.0,0.0,0.0,833.985544063967,0.10645114021522767,0.0,0.0,0.0,0.0,153.21017284366002
2026-02-09 22:00:00+00:00,0.019372480312376927,67.63903817311646,0.0,1936.5757203238315,0.0,0.0,0.0,863.1618242184501,0.1469003246436165,0.0,0.0,0.0,0.0,155.45714447964582
2026-02-09 23:00:00+00:00,0.01814590750076027,51.11606093424341,0.0,1731.9901258211826,0.0,0.0,0.0,721.9460631614185,0.08189972355773323,0.0,0.0,0.0,0.0,121.87270445209703
2026-02-10 00:00:00+00:00,0.020684149531538312,46.77329189060658,0.0,1696.5694186685666,0.0,0.0,0.0,783.0547025335658,0.13326700369313274,0.0,0.0,0.0,0.0,127.99863575403627
2026-02-10 01:00:00+00:00,0.022278700679198307,44.101370602783064,0.0,1793.4215480295225,0.0,0.0,0.0,836.68238875647,0.13052767375295946,0.0,0.0,0.0,0.0,136.26688623679243
2026-02-10 02:00:00+00:00,0.021227341774845445,34.75802203143768,0.0,1759.3593670927028,0.0,0.0,0.0,837.3369893954418,0.09500348766364394,0.0,0.0,0.0,0.0,136.4043906509795
2026-02-10 03:00:00+00:00,0.10263280128024398,36.33745131981041,0.0,1791.5379917351213,0.0,0.0,0.0,830.9604071507238,0.0942666372264009,0.0,0.0,0.0,0.0,136.39225035583797
2026-02-10 04:00:00+00:00,0.11807402811084322,37.225114353195025,0.0,1936.282408408404,0.0,0.0,0.0,867.229137718287,0.14759253513855403,0.0,0.0,0.0,0.0,148.89767295686462
2026-02-10 05:00:00+00:00,0.11456679209976742,40.41929239914637,0.0,2029.2720741690048,0.0,0.0,0.0,848.9862859647504,0.15652846004172113,0.0,0.0,0.0,0.0,149.45125221495667
2026-02-10 06:00:00+00:00,0.168322734052511,42.28557067842748,0.0,2022.8217024898915,0.0,0.0,0.0,784.7268203281416,0.17811929529366244,0.0,0.0,0.0,0.0,141.84446447419327
2026-02-10 07:00:00+00:00,0.9440573150309471,40.93965246643326,0.0,1991.9155480870925,0.0,0.0,0.0,620.1318448989781,0.1847463291655347,0.0,0.0,0.0,0.0,116.6591509032994
2026-02-10 08:00:00+00:00,3.195031071811561,46.585491767829545,0.0,1966.8370381066247,0.0,0.0,0.0,635.1273175765332,0.18020352321649402,0.0,0.0,0.0,0.0,119.6249179539848
2026-02-10 09:00:00+00:00,6.521787054620065,59.517139233047686,0.0,2022.1545551347137,0.0,0.0,0.0,717.7632904648505,0.13237229076525828,0.0,0.0,0.0,0.0,135.28585582200225
2026-02-10 10:00:00+00:00,9.49882893749457,56.51799511628951,0.0,2024.5578403891343,0.0,0.0,0.0,732.9635121514945,0.18719272444277668,0.0,0.0,0.0,0.0,140.92463068114452
2026-02-10 11:00:00+00:00,8.845521708553429,38.76394933142362,0.0,2007.7285452861404,0.0,0.0,0.0,647.6341656829811,0.21137485186190666,0.0,0.0,0.0,0.0,131.16644313903953
2026-02-10 12:00:00+00:00,8.356420446688018,29.787662350969498,0.0,1965.955703631762,0.0,0.0,0.0,731.4650823136926,0.19732836240181967,0.0,0.0,0.0,0.0,141.33780289448669
2026-02-10 13:00:00+00:00,5.046692305287003,28.110172381616806,0.0,2061.960785585336,0.0,0.0,0.0,766.1485965186894,0.14139596471809998,0.0,0.0,0.0,0.0,150.34235724435263
2026-02-10 14:00:00+00:00,1.8816610836619985,30.38611358943318,0.0,2059.918295057201,0.0,0.0,0.0,742.298033608296,0.16858436533332485,0.0,0.0,0.0,0.0,130.67231229607455
2026-02-10 15:00:00+00:00,0.35439009003338223,35.325741182799874,0.0,2041.1244464263857,0.0,0.0,0.0,698.0283241370555,0.12882408026379502,0.0,0.0,0.0,0.0,127.68827408346164
2026-02-10 16:00:00+00:00,0.06851489699776599,37.13779017065683,0.0,2030.710819685077,0.0,0.0,0.0,640.9281998038028,0.1455827824653726,0.0,0.0,0.0,0.0,123.23409266099996
2026-02-10 17:00:00+00:00,0.10948969814589143,51.050821217371066,0.0,2054.6385206937402,0.0,0.0,0.0,731.9055124457027,0.09351433293599269,0.0,0.0,0.0,0.0,136.45214161210404
2026-02-10 18:00:00+00:00,0.10576269985204782,61.81306576620571,0.0,2064.9302026511223,0.0,0.0,0.0,810.0043295190532,0.12645540199701372,0.0,0.0,0.0,0.0,145.8451839617699
2026-02-10 19:00:00+00:00,0.10083606907265037,57.969011237090115,0.0,2067.805215091771,0.0,0.0,0.0,832.0746823828656,0.11807502233331425,0.0,0.0,0.0,0.0,144.0821801968673
2026-02-10 20:00:00+00:00,0.01951068955137791,60.30963596712805,0.0,2076.4478724212463,0.0,0.0,0.0,852.6625070918458,0.12099652434963044,0.0,0.0,0.0,0.0,138.7644773058788
2026-02-10 21:00:00+00:00,0.01713020464373223,57.40635884201056,0.0,2070.113605454071,0.0,0.0,0.0,857.9098581432931,0.1338772654217084,0.0,0.0,0.0,0.0,137.8441700905596
2026-02-10 22:00:00+00:00,0.034245460480175786,58.17176498266309,0.0,2051.7336967388005,0.0,0.0,0.0,856.0150742012735,0.1943004849939052,0.0,0.0,0.0,0.0,136.02591813178861
2026-02-10 23:00:00+00:00,0.0290161606588358,74.9066318067506,0.0,1935.3189204221876,0.0,0.0,0.0,785.3856000209261,0.0891091306221445,0.0,0.0,0.0,0.0,125.59572245885441
2026-02-11 00:00:00+00:00,0.028850159237000742,83.87339164327614,0.0,1834.25614546698,0.0,0.0,0.0,784.1239811120087,0.16676392622543781,0.0,0.0,0.0,0.0,129.02586769227258
2026-02-11 01:00:00+00:00,0.03053112000732075,83.57857864830187,0.0,1871.0408620340972,0.0,0.0,0.0,833.8276453499836,0.1300454288791978,0.0,0.0,0.0,0.0,129.86733741873056
2026-02-11 02:00:00+00:00,0.022878540384599196,84.99997618126451,0.0,1820.6682043317235,0.0,0.0,0.0,726.0397990217239,0.09264650774415872,0.0,0.0,0.0,0.0,118.60149541715948
2026-02-11 03:00:00+00:00,0.11047867068118758,85.70362789075523,0.0,1866.9514626343837,0.0,0.0,0.0,821.5140372318566,0.1164772490049421,0.0,0.0,0.0,0.0,131.45391632331803
2026-02-11 04:00:00+00:00,0.1006210129947694,72.67664914145394,0.0,1942.5597428529263,0.0,0.0,0.0,707.204787894478,0.12032408130914131,0.0,0.0,0.0,0.0,118.8128750168375
2026-02-11 05:00:00+00:00,0.11317105862889872,74.97387765353896,0.0,1975.2433438519674,0.0,0.0,0.0,820.8612038580548,0.15132154920809293,0.0,0.0,0.0,0.0,135.2070820286018
2026-02-11 06:00:00+00:00,0.15225059533112756,79.02699188567092,0.0,2002.3964752309676,0.0,0.0,0.0,803.6461064933469,0.1367520317345457,0.0,0.0,0.0,0.0,136.44142376294894
2026-02-11 07:00:00+00:00,0.8011698472453328,75.99654053932971,0.0,2012.6344560393754,0.0,0.0,0.0,776.4444730993409,0.22026793563101874,0.0,0.0,0.0,0.0,135.2030925390774
2026-02-11 08:00:00+00:00,2.9575210060329047,74.45562180713421,0.0,2051.897787383102,0.0,0.0,0.0,794.26130716866,0.21405623881141186,0.0,0.0,0.0,0.0,141.36370639625977
2026-02-11 09:00:00+00:00,6.4931166259855155,69.93987594683037,0.0,2073.006233402348,0.0,0.0,0.0,815.3802038412958,0.17353437936463445,0.0,0.0,0.0,0.0,148.13203580417593
2026-02-11 10:00:00+00:00,8.891161352281886,61.28832995870728,0.0,2068.908513660223,0.0,0.0,0.0,814.4880127612015,0.19648497540712964,0.0,0.0,0.0,0.0,145.52749729217936
2026-02-11 11:00:00+00:00,10.02829182301872,56.99839101609559,0.0,2079.734418905789,0.0,0.0,0.0,821.2437033940325,0.26803753622907256,0.0,0.0,0.0,0.0,147.1021573248352
