,Solar,Wind Onshore,Wind Offshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Other renewable,Storage,Nuclear,Fossil Brown coal/Lignite,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Other
2026-01-18 14:00:00+00:00,249.82584527019412,128.51358527663922,2.7964899768093012,20.017546833134684,174.23265512361453,382.18448512385413,0.0,0.0,64.12550239216952,2799.44322879927,31.801564107581324,24.96912734511148,218.52884078149134,3.06560154249758,16.370527427632457,0.0
2026-01-18 15:00:00+00:00,99.51738783420649,134.72547580223835,1.8888792737899618,17.735772029520305,206.56801895178825,356.0579171423285,0.0,0.0,71.69927304332766,2750.5925637891482,0.0,24.285088884244338,280.56325980417205,3.137555741587021,16.75380770364933,0.0
2026-01-18 16:00:00+00:00,16.273573553173915,180.5597472935594,2.2554506807533583,22.373440498556942,318.65979366809586,406.4177996411358,0.0021187360181177573,0.0,156.3774058367475,2419.345832412206,4.140274880086731,21.609217738354698,324.6904834480177,2.6630586986314695,17.009411353570684,0.647391561091537
2026-01-18 17:00:00+00:00,9.233933435711565,226.98032855969765,4.116499647921039,27.81976576018353,387.4006297375625,498.68796974383406,0.0037401061421677107,0.0,237.91061744150775,2520.9878989558247,0.0,22.102262017651043,394.56959347706544,2.8143994836660413,19.379551423125378,1.1428102101068005
2026-01-18 18:00:00+00:00,10.517505843526806,224.70431637912236,5.64289535297348,28.030682897813914,372.3418169280786,563.3866628564979,0.0019652041839908845,0.0,256.6216570339619,2888.852396156853,75.00650211141705,24.605274466455587,417.8448193804952,3.1934743634148504,18.79955196898582,0.6004790562194369
2026-01-18 19:00:00+00:00,0.014531492537313435,247.94125221303003,9.6905000044504,27.834612077960262,318.2807424408007,547.0272716058321,0.0006926675137969965,0.0,115.30332022043787,3485.6344934541125,53.86560074626866,28.8240050695583,455.18417138973314,4.029160460683836,21.30799775008717,0.21164840699352672
2026-01-18 20:00:00+00:00,0.01753281907929656,249.0864758107622,20.236053317314887,28.947821974361354,216.90363386180616,521.6084972420989,0.0,0.0,41.05711260925402,3752.634243265907,60.3187419058066,32.29067534622386,456.981223558618,4.396965759519516,22.046022529247466,0.0
2026-01-18 21:00:00+00:00,0.00933164057098078,339.561078912552,20.194764612935916,44.573888327365836,176.33502874009687,564.982555029577,0.0035752753954383684,0.0,21.211744568269985,3738.6658356592934,83.2195706120066,30.32644744938027,572.4771441681157,4.329420601605297,26.767169143117098,1.0924452597172793
2026-01-18 22:00:00+00:00,0.01636633616507726,358.8630608221131,23.67354990528262,55.28553204646856,104.08052859707294,515.5493046041048,0.004394073777966546,0.0,14.803454331390961,3779.4802476343243,147.63526309977362,32.58958477894093,620.4434566438376,4.455805413291476,28.65181805907789,1.3426336543786668
2026-01-18 23:00:00+00:00,0.01183708002878221,299.84768746608484,15.077817489456432,42.79694883094061,115.0345722402415,461.2016716884079,57.68580033538599,0.0,8.146062675675896,2975.726696731266,108.60520926407679,21.70448947341792,508.4910840253043,3.2244085116298096,21.870780200244386,8.82493398783968
