,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Other renewable,Storage,Nuclear,Fossil Gas,Waste,Other
2026-02-07 04:00:00+00:00,0.0,190.36649033145662,0.0,560.173742066296,8.135438215960798,1.2751336580390766,0.0,0.0,6.010124784233809,0.0,5.339070944013632
2026-02-07 05:00:00+00:00,0.0,256.98876615763254,0.0,847.6526392946383,9.866992832461316,1.5098863696656322,0.0,0.0,7.275596726662648,0.0,7.606118618939509
2026-02-07 06:00:00+00:00,0.0,253.7732811331598,0.0,989.5778776359945,18.962132231807512,3.025859738928218,0.0,0.0,14.363989766822405,0.0,7.171859493287575
2026-02-07 07:00:00+00:00,0.0008365813278290176,229.60154589283007,0.0,1041.7248137829133,28.07767816293225,4.289369792514367,0.0,0.0,20.286151133154288,0.0,6.269604654327868
2026-02-07 08:00:00+00:00,0.010602682956233213,167.87764735812948,0.0,809.960417714987,23.419998526626088,3.5367995980843667,0.0,0.0,17.84175713222762,0.0,4.902776986989113
2026-02-07 09:00:00+00:00,0.026815580823492228,149.9578218450092,0.0,833.673861907425,25.536300865833308,4.017688242138599,0.0,0.0,19.473561001592724,0.0,5.013950557177855
2026-02-07 10:00:00+00:00,0.028414749000286777,105.44479693412202,0.0,678.9041084124067,22.01266235760163,3.5593235515890727,0.0,0.0,16.86901250721687,0.0,3.7316814880634688
2026-02-07 11:00:00+00:00,0.023293430943417903,45.9772081245341,0.0,393.06568021344003,6.602409979141984,0.9012597858691952,0.0,0.0,4.929924547611913,0.0,3.1252239184593624
2026-02-07 12:00:00+00:00,0.008312316113771675,11.828463785678434,0.0,168.8607797538663,0.0,0.0,0.0,0.0,0.0,0.0,1.8024441443415036
2026-02-07 13:00:00+00:00,0.003228913416983837,42.7871001100003,0.0,321.0480785385228,10.382617362613736,1.570360552228172,0.0,0.0,7.924410919414882,0.0,1.6842036038031039
2026-02-07 14:00:00+00:00,0.0008055313045758919,79.52771353269173,0.0,513.1317713599024,22.085593251649243,3.2649522989496904,0.0,0.0,16.518548201260188,0.0,1.8206158242421695
2026-02-07 15:00:00+00:00,0.0,82.57412408393797,0.0,616.8946942477232,24.111830499298975,3.373698812913614,0.0,0.0,16.95027686641616,0.0,2.64537548970997
2026-02-07 16:00:00+00:00,0.0,77.8176565231399,0.0,667.3084229615342,25.42890529842097,3.700916707507004,0.0,0.0,17.674374861483482,0.0,2.9697236479144022
2026-02-07 17:00:00+00:00,0.0,75.18337415657966,0.0,729.5248422358763,26.417150312833346,4.054048330084833,0.0,0.0,18.352336552516736,0.0,3.393248412109109
2026-02-07 18:00:00+00:00,0.0,70.37496932567383,0.0,676.3360178420116,22.99779733175095,3.003496630209105,0.0,0.0,16.77264990877269,0.0,3.2150689615818773
