,Solar,Wind Onshore,Wind Offshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Other renewable,Storage,Nuclear,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Fossil Peat,Other
2026-01-06 09:00:00+00:00,0.195889832222559,462.3327513994474,0.0,0.0,5609.3004309316775,593.0438720959683,0.0,0.0,0.0,0.0,0.1894991717235093,0.0,5.0048076742423975,0.0,76.38274889471786
2026-01-06 10:00:00+00:00,0.4811067955236696,513.024039034388,0.0,0.0,5566.651207604243,293.7161374306676,0.0,0.0,0.0,0.0,0.09341559947075798,0.0,2.633296779012294,0.0,80.00079675669541
2026-01-06 11:00:00+00:00,0.499673962883064,678.9996772763134,0.0,0.0,5915.675183856271,334.73452299646016,0.0,0.0,0.0,0.0,0.10628976914173462,0.0,2.864351461860664,0.0,84.12030067706978
2026-01-06 12:00:00+00:00,0.29362344214324343,834.616772127912,0.0,0.0,5928.835908179737,355.1098128170731,0.0,0.0,0.0,0.0,0.11242424285236123,0.0,2.9354414038826184,0.0,85.17101778640036
2026-01-06 13:00:00+00:00,0.32517380329694556,1140.0305672964018,0.0,0.0,6216.0570327050455,661.1601437216905,0.0,0.0,0.0,0.0,0.20927537371845048,0.0,5.8550428992358166,0.0,90.26276420061073
2026-01-06 14:00:00+00:00,0.004774618969399571,1406.9760158769493,0.0,0.0,6045.21898016065,670.327561123369,0.0,0.0,0.0,0.0,0.21128909498861892,0.0,5.180105000429439,0.0,88.55627412464398
2026-01-06 15:00:00+00:00,0.0034289694184867206,1692.8818114657324,0.0,0.0,5910.452175726484,522.849974088198,0.0,0.0,0.0,0.0,0.16734309270566894,0.0,4.4461551054421635,0.0,88.3491115520196
2026-01-06 16:00:00+00:00,0.004393886109966205,1953.9764727948216,0.0,0.7855447977136202,5752.440856433923,378.57045655378255,0.02326545890992923,0.0,2.1044800684487908,0.12702542864669053,0.5693618588461965,0.0,3.1357364898177207,0.24146737591180875,89.0459388530684
2026-01-06 17:00:00+00:00,0.010732434768849945,2123.724913400605,0.0,3.626689769763006,5379.303969652143,319.4950656123054,0.10821998094671398,0.017943365894060665,9.843274330390269,0.5181824108767169,1.9458210301783352,0.0,2.4688299005211682,1.0886231019748944,82.49773500963437
2026-01-06 18:00:00+00:00,0.020481872609740992,2298.6809748016212,0.0,5.8583459599467025,5472.859710423111,359.64708445985906,0.1170476125840518,0.05839863213870684,16.558389053351842,0.7596213052628784,2.9170771358574736,0.0,2.7945401506990684,1.7890222486205214,85.86430634433592
2026-01-06 19:00:00+00:00,0.055883711390467786,2436.531692603762,0.0,22.20522629496899,5422.440473721511,476.3578242705529,0.2970615917072322,0.0,67.6731277047419,2.926327754481956,11.14729370385508,0.0,4.0697816231630615,6.873137580561978,89.8721694393031
2026-01-06 20:00:00+00:00,0.02926710584896009,2547.32086836777,0.0,0.0,5243.229545312927,419.54057394776066,0.0,0.0,0.0,0.0,0.13428969517993034,0.0,3.551879177708919,0.0,84.79357639280542
2026-01-06 21:00:00+00:00,0.03064975109294903,2575.760958746224,0.0,0.0,5244.0871618939245,532.0220991782311,0.0,0.0,0.0,0.0,0.16902903425395854,0.0,4.693277842499318,0.0,85.18682355377491
2026-01-06 22:00:00+00:00,0.03056893214503976,2673.9541007065304,0.0,0.0,5190.738718774281,633.8588285075808,0.0,0.0,0.0,0.0,0.20306184242791106,0.0,5.523058030171739,0.0,84.6916632068633
2026-01-06 23:00:00+00:00,0.027988809496157153,2660.410128866344,0.0,0.0,5061.239195455371,537.4140382384035,0.0,0.0,0.0,0.0,0.17415594628042283,0.0,5.015767070256467,0.0,77.74372561384872
2026-01-07 00:00:00+00:00,0.025354597549860525,2734.088918874222,0.0,0.0,5036.723590260521,494.45814436695787,0.0,0.0,0.0,0.0,0.15995073255614362,0.0,4.625580943093744,0.0,78.01846022509922
2026-01-07 01:00:00+00:00,0.01699181043153112,2742.981207851499,0.0,0.0,5049.028646263918,491.09231454927465,0.0,0.0,0.0,0.0,0.1592430233095829,0.0,4.594490693426332,0.0,79.10210580814089
2026-01-07 02:00:00+00:00,0.02426642555070478,2770.573550119749,0.0,0.0,4935.428303769102,445.7312435541885,0.0,0.0,0.0,0.0,0.14482603651190898,0.0,4.412426281537733,0.0,79.7853838133605
2026-01-07 03:00:00+00:00,0.026406220995045013,2791.704202952197,0.0,0.0,4923.483687153924,427.4391120524057,0.0,0.0,0.0,0.0,0.13821557385206526,0.0,3.736559257137827,0.0,78.64681678948826
2026-01-07 04:00:00+00:00,0.010333000950997127,2770.154788059725,0.0,0.0,4911.348109875447,552.4518998957135,0.0,0.0,0.0,0.0,0.17869770395911436,0.0,5.117275128800916,0.0,75.13889633540383
